tld,url,2008,2016,2020,depth,fromedgi
nps.gov,http://parkplanning.nps.gov:80/,20080121181603,20160115144943,20200225202905,high,FALSE
nasa.gov,http://podaac.jpl.nasa.gov:80/,20080128165035,20160111022336,20200112101819,high,FALSE
usgs.gov,http://pubs.usgs.gov/circ/2003/circ1245/,20080102075430,20160223125611,20200806202041,deep,FALSE
usgs.gov,http://pubs.usgs.gov/circ/2004/1232/,20080102081410,20160510075947,20201018080728,deep,FALSE
usgs.gov,http://pubs.usgs.gov:80/circ/2007/1308/,20080211184620,20160211085859,20200212172241,deep,FALSE
usgs.gov,http://pubs.usgs.gov:80/circ/c1050/index.htm,20080116124628,20160304025446,20201017215704,high,FALSE
usgs.gov,http://pubs.usgs.gov:80/ds/2007/281/,20080103112619,20160220202934,20200829004649,deep,FALSE
usgs.gov,http://pubs.usgs.gov:80/fs/2007/3003/,20080212174828,20160413164345,20201018052012,deep,FALSE
usgs.gov,http://pubs.usgs.gov:80/fs/2007/3045/,20080116124718,20160303193554,20200909075539,deep,FALSE
usgs.gov,http://pubs.usgs.gov:80/gip/2007/48/,20080211184635,20160409115722,20200716193254,deep,FALSE
usgs.gov,http://pubs.usgs.gov:80/gip/gw_ruralhomeowner/,20080123202819,20160321193601,20200520172313,high,FALSE
usgs.gov,http://pubs.usgs.gov:80/of/1990/ofr90130/,20080102173830,20160703064754,20201025201716,deep,FALSE
usgs.gov,http://pubs.usgs.gov:80/of/2007/1264/,20080119232539,20160613091603,20200819082442,deep,FALSE
usgs.gov,http://pubs.usgs.gov:80/sir/2005/5053/,20080113084502,20160430174023,20201016230533,deep,FALSE
usgs.gov,http://pubs.usgs.gov:80/sir/2005/5194/,20080102055916,20160111085714,20201130075312,deep,FALSE
usgs.gov,http://pubs.usgs.gov:80/tm/2007/tm4e1/,20080101045349,20160909070239,20200830001427,deep,FALSE
noaa.gov,http://rapidrefresh.noaa.gov/,20080120085726,20160121003616,20200219133353,high,TRUE
noaa.gov,http://ruc.noaa.gov:80/,20080105052654,20160119222140,20200107014320,high,TRUE
nasa.gov,http://airbornescience.nasa.gov:80/,20080306123930,20160215091505,20200101160258,high,TRUE
usgs.gov,http://earthquake.usgs.gov:80/hazards,20080131224614,20160101124625,20200101145449,high,TRUE
